
Language	Identifier
ABAP	abap
Windows Bat	bat
BibTeX	bibtex
Clojure	clojure
Coffeescript	coffeescript
C	c
C++	cpp
C#	csharp
Compose	dockercompose
CSS	css
CUDA C++	cuda-cpp
D	d
Dart	dart
Delphi	pascal
Diff	diff
Dockerfile	dockerfile
Erlang	erlang
F#	fsharp
Git	git-commit and git-rebase
Go	go
Groovy	groovy
Handlebars	handlebars
Haml	haml
Haskell	haskell
HTML	html
Ini	ini
Java	java
JavaScript	javascript
JavaScript JSX	javascriptreact
JSON	json
JSON with Comments	jsonc
Julia	julia
LaTeX	latex
Less	less
Lua	lua
Makefile	makefile
Markdown	markdown
Objective-C	objective-c
Objective-C++	objective-cpp
OCaml	ocaml
Pascal	pascal
Perl	perl and perl6
PHP	php
Plain Text	plaintext
PowerShell	powershell
Pug	jade, pug
Python	python
R	r
Razor (cshtml)	razor
Ruby	ruby
Rust	rust
SCSS	scss (syntax using curly brackets), sass (indented syntax)
ShaderLab	shaderlab
Shell Script (Bash)	shellscript
Slim	slim
SQL	sql
Stylus	stylus
Svelte	svelte
Swift	swift
TypeScript	typescript
TypeScript JSX	typescriptreact
TeX	tex
Visual Basic	vb
Vue	vue
Vue HTML	vue-html
XML	xml
XSL	xsl
YAML	yaml
